t,y,yref
1772.5,1.2945,1.1921
1775,1.295,1.1923
1777.5,1.2955,1.1925
1780,1.296,1.1928
1782.5,1.2965,1.193
1785,1.2969,1.1932
1787.5,1.2973,1.1934
1790,1.2977,1.1935
1792.5,1.2981,1.1937
1795,1.2984,1.1938
1797.5,1.2988,1.194
1800,1.2991,1.1941
1802.5,1.2994,1.1942
1805,1.2997,1.1943
1807.5,1.3,1.1944
1810,1.3002,1.1945
1812.5,1.3005,1.1945
1815,1.3007,1.1946
1817.5,1.301,1.1947
1820,1.3013,1.1948
1822.5,1.3015,1.1949
1825,1.3017,1.195
1827.5,1.302,1.1951
1830,1.3022,1.1952
1832.5,1.3025,1.1952
1835,1.3027,1.1953
1837.5,1.3029,1.1954
1840,1.3032,1.1955
1842.5,1.3034,1.1956
1845,1.3036,1.1957
1847.5,1.3038,1.1958
1850,1.304,1.1959
1852.5,1.3043,1.1959
1855,1.3045,1.196
1857.5,1.3047,1.1961
1860,1.3049,1.1962
1862.5,1.3051,1.1963
1865,1.3052,1.1963
1867.5,1.3054,1.1964
1870,1.3056,1.1965
1872.5,1.3058,1.1965
1875,1.306,1.1966
1877.5,1.3061,1.1967
1880,1.3063,1.1967
1882.5,1.3065,1.1968
1885,1.3066,1.1969
1887.5,1.3068,1.1969
1890,1.3069,1.197
1892.5,1.3071,1.1971
1895,1.3072,1.1971
1897.5,1.3074,1.1972
1900,1.3075,1.1972
1902.5,1.3077,1.1973
1905,1.3078,1.1973
1907.5,1.3079,1.1974
1910,1.3081,1.1974
1912.5,1.3082,1.1975
1915,1.3083,1.1975
1917.5,1.3085,1.1976
1920,1.3086,1.1976
1922.5,1.3087,1.1977
1925,1.3088,1.1977
1927.5,1.3089,1.1978
1930,1.309,1.1978
1932.5,1.3091,1.1978
1935,1.3093,1.1979
1937.5,1.3094,1.1979
1940,1.3095,1.198
1942.5,1.3096,1.198
1945,1.3097,1.198
1947.5,1.3098,1.1981
1950,1.3099,1.1981
1952.5,1.3099,1.1982
1955,1.31,1.1982
1957.5,1.3101,1.1982
1960,1.3102,1.1983
1962.5,1.3103,1.1983
1965,1.3104,1.1983
1967.5,1.3105,1.1984
1970,1.3106,1.1984
1972.5,1.3106,1.1984
1975,1.3107,1.1985
1977.5,1.3108,1.1985
1980,1.3109,1.1985
1982.5,1.311,1.1985
1985,1.311,1.1986
1987.5,1.3111,1.1986
1990,1.3112,1.1986
1992.5,1.3112,1.1987
1995,1.3113,1.1987
1997.5,1.3114,1.1987
2000,1.3115,1.1987
2002.5,1.3115,0
